"location_id","date_utc","hour_utc","date_local","hour_local","consumption","baseline","erasing","status","extra"
"5721","2022-01-03T00:00:00Z","19","2022-01-03T00:00:00Z","14","2.8414333","2.0374181","-0.80401516","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T20:00:42.0614068Z""}}"
"5721","2022-01-03T00:00:00Z","11","2022-01-03T00:00:00Z","6","2.98867","3.1191654","0.13049531","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T12:00:08.6868266Z""}}"
"3209","2022-01-03T00:00:00Z","11","2022-01-03T00:00:00Z","6","2.43666","3.8270383","1.3903782","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T12:00:21.6960116Z""}}"
"3209","2022-01-03T00:00:00Z","5","2022-01-03T00:00:00Z","0","3.4462316","3.6370895","0.19085789","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T09:00:18.6355067Z""}}"
"3209","2022-01-03T00:00:00Z","6","2022-01-03T00:00:00Z","1","3.449775","3.6521373","0.2023623","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T09:00:18.6850071Z""}}"
"3209","2022-01-03T00:00:00Z","7","2022-01-03T00:00:00Z","2","3.646075","3.6824524","0.03637743","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T09:00:18.7368832Z""}}"
"3209","2022-01-03T00:00:00Z","8","2022-01-03T00:00:00Z","3","3.93325","3.6945102","-0.23873973","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T09:00:18.7868516Z""}}"
"5721","2022-01-03T00:00:00Z","14","2022-01-03T00:00:00Z","9","0.8009","2.198418","1.3975179","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T15:00:23.1212277Z""}}"
"3209","2022-01-03T00:00:00Z","14","2022-01-03T00:00:00Z","9","1.9969","3.78547","1.78857","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T15:00:26.0697707Z""}}"
"5721","2022-01-03T00:00:00Z","5","2022-01-03T00:00:00Z","0","1.7946633","1.8694885","0.07482517","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T09:00:54.3067475Z""}}"
"5721","2022-01-03T00:00:00Z","6","2022-01-03T00:00:00Z","1","2.03446","1.9716401","-0.06281996","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T09:00:54.3306797Z""}}"
"5721","2022-01-03T00:00:00Z","7","2022-01-03T00:00:00Z","2","1.8465717","1.8842347","0.037662983","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T09:00:54.3612166Z""}}"
